,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
102,Female,45-49,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,Computers/Technology,0-1,"0-10,000",5000
103,Male,25-29,Europe,Master’s degree,"Information technology, networking, or system administration",Software Engineer,Computers/Technology,1-2,"30-40,000",35000
104,Male,22-24,South America,Master’s degree,Other,Business Analyst,Accounting/Finance,1-2,"0-10,000",5000
105,Male,25-29,South America,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,1-2,"10-20,000",15000
107,Female,25-29,USA,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,"40-50,000",45000
109,Male,25-29,China,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,5-10,"0-10,000",5000
111,Male,35-39,USA,Master’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Computers/Technology,5-10,"150-200,000",175000
112,Male,35-39,India,Professional degree,Mathematics or statistics,Marketing Analyst,Marketing/CRM,10-15,"0-10,000",5000
113,Male,35-39,Other,Master’s degree,Mathematics or statistics,Data Scientist,Broadcasting/Communications,5-10,"40-50,000",45000
115,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,1-2,"0-10,000",5000
116,Male,40-44,North America,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Government/Public Service,15-20,"50-60,000",55000
117,Male,40-44,China,Doctoral degree,"Information technology, networking, or system administration",Data Scientist,Broadcasting/Communications,5-10,"50-60,000",55000
118,Male,30-34,Russia,Master’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Accounting/Finance,1-2,"40-50,000",45000
119,Male,25-29,USA,Doctoral degree,"Information technology, networking, or system administration",Student,Computers/Technology,3-4,"10-20,000",15000
120,Male,25-29,North America,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,3-4,"20-30,000",25000
121,Male,55-59,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,0-1,"100-125,000",112500
122,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,1-2,"40-50,000",45000
123,Male,25-29,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"30-40,000",35000
124,Male,35-39,India,Master’s degree,Engineering (non-computer focused),Principal Investigator,Manufacturing/Fabrication,15-20,"30-40,000",35000
125,Male,22-24,Europe,Bachelor’s degree,Engineering (non-computer focused),Student,Academics/Education,0-1,"0-10,000",5000
127,Male,35-39,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Accounting/Finance,5-10,"100-125,000",112500
128,Male,18-21,USA,Master’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,2-3,"90-100,000",95000
130,Male,30-34,Asia,I prefer not to answer,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,5-10,"10-20,000",15000
132,Male,30-34,Asia,Doctoral degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,3-4,"40-50,000",45000
135,Male,25-29,Russia,Master’s degree,Mathematics or statistics,Data Scientist,Marketing/CRM,1-2,"30-40,000",35000
136,Male,40-44,Asia,Doctoral degree,Engineering (non-computer focused),Manager,Military/Security/Defense,10-15,"90-100,000",95000
137,Male,50-54,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Government/Public Service,25-30,"150-200,000",175000
138,Female,22-24,China,Master’s degree,Engineering (non-computer focused),Data Engineer,Computers/Technology,0-1,"0-10,000",5000
139,Male,35-39,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,3-4,"0-10,000",5000
140,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
141,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,I am a student,2-3,"10-20,000",15000
143,Male,22-24,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,5-10,"0-10,000",5000
144,Male,22-24,China,Bachelor’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,0-1,"30-40,000",35000
147,Male,22-24,China,Master’s degree,Engineering (non-computer focused),Data Analyst,I am a student,2-3,"0-10,000",5000
149,Male,25-29,China,I prefer not to answer,I never declared a major,Student,Academics/Education,1-2,"0-10,000",5000
150,Male,25-29,China,Master’s degree,"Information technology, networking, or system administration",Data Engineer,Computers/Technology,0-1,"40-50,000",45000
151,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,1-2,"0-10,000",5000
152,Male,22-24,China,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,1-2,"0-10,000",5000
153,Male,25-29,China,Master’s degree,"Information technology, networking, or system administration",Data Analyst,Computers/Technology,1-2,"0-10,000",5000
154,Male,40-44,China,Doctoral degree,Mathematics or statistics,Data Scientist,Academics/Education,15-20,"10-20,000",15000
156,Male,22-24,China,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,0-1,"0-10,000",5000
157,Female,22-24,China,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,4-5,"20-30,000",25000
158,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
160,Male,22-24,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,10-15,"0-10,000",5000
161,Male,25-29,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Government/Public Service,0-1,"0-10,000",5000
163,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,2-3,"0-10,000",5000
164,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
167,Prefer not to say,22-24,China,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,15-20,"0-10,000",5000
169,Male,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,I am a student,0-1,"0-10,000",5000
171,Female,22-24,China,Master’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
172,Male,25-29,China,Doctoral degree,"Computer science (software engineering, etc.)",Student,Academics/Education,20-25,"0-10,000",5000
173,Male,30-34,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"50-60,000",55000
174,Male,22-24,China,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
175,Male,25-29,China,Doctoral degree,Mathematics or statistics,Data Analyst,Government/Public Service,2-3,"20-30,000",25000
177,Male,22-24,China,Master’s degree,"Information technology, networking, or system administration",Student,Academics/Education,1-2,"0-10,000",5000
181,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,3-4,"70-80,000",75000
182,Male,30-34,China,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,5-10,"60-70,000",65000
183,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Data Scientist,Medical/Pharmaceutical,2-3,"40-50,000",45000
184,Male,22-24,China,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,0-1,"10-20,000",15000
185,Female,18-21,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,1-2,"0-10,000",5000
186,Male,25-29,China,Master’s degree,Physics or astronomy,Student,I am a student,1-2,"0-10,000",5000
187,Male,30-34,China,Doctoral degree,Other,Research Assistant,Academics/Education,2-3,"0-10,000",5000
190,Male,25-29,China,I prefer not to answer,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Accounting/Finance,2-3,"10-20,000",15000
192,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,0-1,"0-10,000",5000
193,Male,22-24,China,Master’s degree,Mathematics or statistics,Student,I am a student,15-20,"0-10,000",5000
194,Female,22-24,China,Doctoral degree,"Information technology, networking, or system administration",Student,I am a student,3-4,"0-10,000",5000
195,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,1-2,"30-40,000",35000
197,Male,25-29,China,Master’s degree,Mathematics or statistics,Data Engineer,Online Business/Internet-based Sales,1-2,"10-20,000",15000
201,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Academics/Education,1-2,"20-30,000",25000
202,Male,18-21,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0-1,"0-10,000",5000
204,Male,30-34,China,Professional degree,Engineering (non-computer focused),Research Scientist,Academics/Education,5-10,"20-30,000",25000
205,Male,25-29,China,Bachelor’s degree,Physics or astronomy,Data Analyst,Insurance/Risk Assessment,1-2,"0-10,000",5000
207,Male,22-24,China,Master’s degree,Mathematics or statistics,Student,I am a student,1-2,"0-10,000",5000
208,Male,30-34,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"20-30,000",25000
211,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"30-40,000",35000
212,Female,22-24,China,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,0-1,"0-10,000",5000
213,Female,22-24,China,Master’s degree,Mathematics or statistics,Business Analyst,Accounting/Finance,0-1,"0-10,000",5000
215,Male,22-24,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Developer Advocate,Computers/Technology,1-2,"20-30,000",25000
217,Male,30-34,China,Some college/university study without earning a bachelor’s degree,"Information technology, networking, or system administration",Software Engineer,Computers/Technology,10-15,"0-10,000",5000
218,Male,22-24,China,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Student,Academics/Education,2-3,"0-10,000",5000
219,Male,22-24,China,Master’s degree,Engineering (non-computer focused),Data Engineer,Online Service/Internet-based Services,0-1,"40-50,000",45000
220,Male,40-44,China,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Product/Project Manager,Manufacturing/Fabrication,3-4,"20-30,000",25000
221,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"20-30,000",25000
222,Male,30-34,China,Master’s degree,Mathematics or statistics,Data Analyst,Accounting/Finance,2-3,"10-20,000",15000
223,Male,18-21,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Other,Online Business/Internet-based Sales,1-2,"0-10,000",5000
224,Male,18-21,China,Bachelor’s degree,Engineering (non-computer focused),Student,Academics/Education,2-3,"0-10,000",5000
225,Male,25-29,China,Master’s degree,Physics or astronomy,Business Analyst,Online Service/Internet-based Services,2-3,"50-60,000",55000
227,Male,25-29,China,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Other,2-3,"10-20,000",15000
228,Male,40-44,China,Master’s degree,"Computer science (software engineering, etc.)",Other,Online Service/Internet-based Services,5-10,"100-125,000",112500
230,Male,22-24,China,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
232,Male,22-24,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Online Service/Internet-based Services,0-1,"0-10,000",5000
233,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,1-2,"10-20,000",15000
235,Male,25-29,China,No formal education past high school,,Software Engineer,Accounting/Finance,5-10,"30-40,000",35000
237,Male,22-24,India,Bachelor’s degree,"Information technology, networking, or system administration",Student,I am a student,0-1,"0-10,000",5000
238,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,2-3,"0-10,000",5000
239,Female,22-24,China,Master’s degree,Mathematics or statistics,Student,I am a student,15-20,"0-10,000",5000
243,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Military/Security/Defense,5-10,"0-10,000",5000
245,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,2-3,"10-20,000",15000
246,Male,22-24,India,I prefer not to answer,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
250,Female,25-29,China,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Computers/Technology,1-2,"0-10,000",5000
251,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Academics/Education,0-1,"0-10,000",5000
253,Male,30-34,India,Master’s degree,Engineering (non-computer focused),Data Engineer,Computers/Technology,3-4,"0-10,000",5000
254,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,4-5,"20-30,000",25000
256,Female,22-24,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
257,Prefer not to say,25-29,China,Master’s degree,Other,Data Analyst,I am a student,1-2,"0-10,000",5000
258,Male,18-21,India,Master’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
261,Male,25-29,India,Master’s degree,Physics or astronomy,Research Scientist,Government/Public Service,2-3,"10-20,000",15000
262,Male,22-24,India,Master’s degree,Mathematics or statistics,Student,I am a student,0-1,"0-10,000",5000
264,Male,30-34,India,Master’s degree,Mathematics or statistics,Other,Academics/Education,3-4,"0-10,000",5000
266,Female,25-29,India,Master’s degree,Engineering (non-computer focused),Other,Medical/Pharmaceutical,5-10,"10-20,000",15000
268,Male,30-34,India,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,2-3,"20-30,000",25000
270,Male,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Business Analyst,Computers/Technology,4-5,"10-20,000",15000
273,Male,40-44,India,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,15-20,"10-20,000",15000
275,Male,30-34,India,Master’s degree,Engineering (non-computer focused),Software Engineer,Medical/Pharmaceutical,5-10,"20-30,000",25000
277,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Academics/Education,1-2,"0-10,000",5000
278,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Engineer,Academics/Education,1-2,"0-10,000",5000
282,Male,35-39,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Computers/Technology,2-3,"10-20,000",15000
284,Male,30-34,China,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,4-5,"30-40,000",35000
287,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Accounting/Finance,0-1,"0-10,000",5000
288,Male,25-29,China,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Government/Public Service,4-5,"20-30,000",25000
289,Male,45-49,China,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,5-10,"60-70,000",65000
290,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"50-60,000",55000
292,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"0-10,000",5000
293,Male,22-24,India,Master’s degree,Other,Data Engineer,Computers/Technology,0-1,"0-10,000",5000
295,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Other,Energy/Mining,2-3,"20-30,000",25000
296,Male,25-29,India,Bachelor’s degree,Mathematics or statistics,Data Analyst,Non-profit/Service,3-4,"0-10,000",5000
297,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,3-4,"0-10,000",5000
298,Male,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,0-1,"0-10,000",5000
301,Male,25-29,India,Bachelor’s degree,"Information technology, networking, or system administration",Data Scientist,Computers/Technology,3-4,"20-30,000",25000
305,Female,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"10-20,000",15000
308,Male,22-24,China,Bachelor’s degree,Mathematics or statistics,Student,Academics/Education,2-3,"0-10,000",5000
311,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Consultant,Insurance/Risk Assessment,1-2,"10-20,000",15000
312,Female,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,3-4,"0-10,000",5000
313,Male,35-39,India,Master’s degree,Engineering (non-computer focused),Business Analyst,Computers/Technology,10-15,"50-60,000",55000
314,Male,40-44,India,Doctoral degree,Engineering (non-computer focused),Research Scientist,Computers/Technology,5-10,"50-60,000",55000
318,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,4-5,"0-10,000",5000
322,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Energy/Mining,2-3,"10-20,000",15000
323,Male,25-29,India,Master’s degree,Mathematics or statistics,Data Scientist,Energy/Mining,4-5,"0-10,000",5000
324,Male,30-34,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Government/Public Service,5-10,"70-80,000",75000
326,Male,22-24,India,Master’s degree,Engineering (non-computer focused),Manager,Academics/Education,1-2,"0-10,000",5000
